odd_bert,Instead of going to the gym i just sit around nd drink protein shakes
anass1620,"By Carla PryesEveryone knows staying fit is important, especially with obesity rates in America rising quickly. Want to work out, but don&#8217;t have any good ideas? There are many ways to work on your personal fitness, and this article describes some great ways to have fun while working out and staying healthy.  An extremely important part of an fitness regimen is a regular rest day. This gives your muscles a chance to repair any damage they have suffered. If you don&#8217;t take a regular rest day, you are likely to suffer a damaging injury that could take you away from training for much longer than a day.  A really good way to help you get fit is to start drinking green tea. Green tea can be a great, natural alternative to coffee if you&#8217;re not much of a fan of coffee. Green tea has been proven to give the metabolism a boost and it also provides energy.  If you&#8217;re trying on a new fitness routine, remember that staying hydrated will help you maximize your benefits. Dehydration can hinder muscle development and even become dangerous. Drink at least sixteen ounces of water two hours before and after a workout. If you&#8217;ve been doing cardiovascular workouts, amp up your water intake even more to compensate for your sweating.  For sleeker looking arms, try exercises designed to improve your posture. Most posture exercises work all the major muscles in the arm, allowing them to be strengthened and toned. Try extending your arms until they&#8217;re at shoulder height, with your elbows bent and palms up. Hold this position for at least 5 seconds, then release and repeat. Performing this exercise at least 3 times weekly should have you standing straighter and leave your arms looking great.  A good, and easy exercise to try when getting into better physical shape is walking. Walking at a fast pace for fifteen to twenty minutes a day can quickly impact your fitness goals. If you stroll for thirty minutes, you can have a similar impact to your body, it will just be more gradual.  A great way to get fit is to consult with a professional bodybuilder. A lot of bodybuilders have their own web sites where they offer a service that gives you the opportunity to pay to have your own consultation with them. You can get their experienced advice on your diet and workout routine.  A good way to help you get fit is to be really certain of your goals. A lot of people want to put on muscle and shed fat at the same time. Doing both at the same time is not possible. By knowing exactly what you want, you can find the right diet and exercise program for you.  To build stronger abdominal muscles, don&#8217;t overdo it. You don&#8217;t want to do abdominal exercises every day of the week. Just like the other muscles in your body, your abs need to rest between workouts. Do your abdominal workout, just two or three days a week for the best results.  If you live near a city, there will be many different events and runs that you can participate in, such as a 5k. Sign up for the next big run in your area and commit yourself to training for it over the next couple of months. This will help increase your motivation and fat burning potential.  When doing sit-ups, it is important to protect your neck. If you don&#8217;t, you can suffer a serious neck strain. When you are doing sit-ups, put your tongue on the roof of your mouth. That will help keep your head properly aligned and prevent any muscles strains in your neck.  As stated in the beginning of this article, it may seem hard to fit a fitness regimen into your everyday routine, but it is possible. Hopefully this article has given you some great tips for fitting some fitness into your busy life. You will find that in no time at all, you&#8217;ll be feeling healthier and have much more energy.  		About the Author:For more articles and tips on these subjects, have a look at alicecoolchick.wordpress.com, you&#8217;ll find advice that can help you succeed with you fitness and weight loss goals. Get Fit, Live Happy, And Live Healthy via weightlosssuccess4&#160;http://ift.tt/1n9u45u"
mylife-odaat,"Yesterday was DAY 4: #7dsd 💗 it tested my willpower to change again as we had goodies at work&#8230;biscotti&~ #8217;s & jersey mike subs. Stayed away 😁 BC: listened to my body & slept. Strained my groin in the second playoff game of the night @ flag football. 🏈 M1: meta-d shot & slim down scramble, coffee ☕️ M2: grapefruit & stevia. 😜 So gross. I cannot get past the sour bitter taste. Yuck M3: Salmon over mixed greens - yum! I bet it was better than the jersey mikes subs everyone else had at the office  M4: @larabar - they are truly delicious!  PMWO: Sleek & slender abs with Karena, 1 round if the pink flamingo workout & a 30 minute brisk walk w/ my man 👫 before friends came over for dinner  M5: I slipped a little here&#8230;caprese bites for an appetizer. Did indulge on a few blue corn chips & mango salsa too before the main course of lean turkey burgers. Topped mine w/ avacado on a bed of spinach & tomato&#8230;but yes those are sweet potato puffs there too w/ a Greek yogurt aioli. Accompanied by a crystal light vodka mint lemonade my friend main&#8230;deeeelicious. Some minor slip ups but I&#8217;m still proud of myself during this seven day slim down. #tiu #tiuteam #tiunova #tiudc @karenakatrina @toneitup #fitness #friends #healthyeating #havefun #createyoursummer"
betterelthtoday,LOOKING FOR A GOOD PRE WORKOUT DRINK?? This is my lightning bolt in a bottle!! Just take prior to activity and... http://fb.me/1oy3Y2r6j
McCormickArmand,This and chocolate milk after a big workout! #tasty #220hereicome http://t.co/DeOLgjQKJO
juju_bug27,Solid sprint workout now I'm laying on the rec floor until someone tells me it's time to drink the beer
serenaazz,"My fave pre workout drink is the Suja Essentials Cucumber Chill! The chlorella, spirulina and ginger... http://instagram.com/p/sVp92jGFln/"
ghweldon,Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a crisp finish.
ajoy_paulino,"RT @Factsionary: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
fatinfj,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
itzwikipedia,"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ddaniela_quiroz,“@manitsmiranda10: Chocolate milk after a workout>>>”
KCCASTRO3,Morning workout ✔️ Coffee ✔️ Sunny day ✔️ My boys ✔️
warisuo,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AngeloYoito,Walking to my kitchen to get some soda I'm bout to live it up by myself
SimpleQuestiion,"Why do people order double cheeseburgers, large fries, and A DIET COKE?"
Kimmersrenee,#ShareaCokeFreestyleContest  My friend and I think adding 1/3 of root beer to 1/3 diet coke and 1/3 coke makes a certain zing!
EmmaHaley_,RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
CaptainSlapWeh,RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
RubesBegum,My fat lazy bitch of an older sister just made me a mug of tea omg this is a Kodak moment!!
Tweet_B_,"If there was no weight limit, I'd try to bring back giant size cans of diet coke for @JennySnapTech 😉 they're so big here in NYC"
ItsLoveePearl,"PINEAPPLE SHAKE  good for detoxifying body fats !  Best drink ever :3 I'll start having healthy diet , wahaha :D... http://fb.me/2zBvyHek8"
noteworthyrun,"CrossFit followed by coffee with homemade almond milk, yams smothered in eggs. Perfect Saturday... http://instagram.com/p/sVNoJXy4kf/"
brmhs2018,"Happy Birfday to Madison Spinner! This morning I woke up at 4:33. My throat was killing me. Everytime I swallowed, it hurt too much. So I slept for another hour, but I was so freaking tired. When I woke up, my throat still hurt.  Today, I wore a tee + jeans. I packed gym clothing and grabbed my jacket, and I was basically ready. So we get to school, right? And just before the bell rings, I realize, I don’t have my jacket. Stupid me forgot my stupid jacket even though it was stupidly sitting there next to me ... Theater. We studied for a few minutes before taking the test. I took it. After, we talked about the guidelines for our storytelling project. Great. English. Read AR. Did vocabulary stuff. Done. Gymnastics. I honestly think today was the most productive day. And fun. Nadia and I are getting along really well. We’re like, gymnastics buddies. Lunch. I ate veggie ships and drank water. My throat is still hurting. Lucia says a sickness is going around. Nasty ass people. Spanish. I hate this class. All we do is work and more work. But Mr. Allison was so funny today. He was doing all of these actions and people were laughing at him but I was laughing at Ingrid (?). She’s funny to watch. Biology. We did a lab today. Jalen joined our group too. She’s the one I went up to in gymnastics. That’s it. Really."
jcameronp,"when I get back to LA I'm looking for: cute coffee dates, cute sunset dates, cute hiking dates, cute surfing dates, cute chipotle dates"
clint_stonham,@DigestionDetect yes only water though I dont drink alcohol I dont smoke and I lift weights but just when I eat my belly doubles in size
Con_Bon4,"running on fumes, hoping this coffee helps me get through this workout"
canadiancynic,RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
itzwikipedia,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
SuFarrellFigure,Coffee and my @ix3alpha pre workout...this is gonna be one hell of a leg session! 👊💪😎👏 #stimulatedtothemax
SavageKyia,"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
sallysalimatun_,"RT @TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
The_CWW,"👍If you want to burn fat faster, a cup of coffee before a workout will speed up the process.👍"
Mr_Fozzy69,"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
packmeto,"Eat, Drink, Bike: Exploring Sonoma wine country http://goo.gl/Qynr6Q via @SandInSuitcase"
Anonymous,general fat logic thread
RoyaVega,Save me then RT @Askmeifigaf: Whenever I see a fat person drinking soda and eating trash food I just want to save them...
Amanda Hagemeier,"It's been 6 weeks today since i first opened that little pink and white pack of slim and poured it into a bottle of water. Im down 23.6lbs and countless inches ( last time i checked it was 28 overall! ). Im gaining my life back at a slow and healthy pace with the ability to now push the plate away thanks to these amazing all natural ingredients! Having Epilepsy since i became an adult has limited what i could do or try when it comes to weight loss but Plexus was 100% approved by my neurologist. I havent had a diet coke in 6 weeks and i never thought i'd be able to say goodbye to them. I drink 1/2 my body weight in ounces of water daily and i no longer crave all that horrible junk food. Im not saying i dont munch on a handful of Cheeto's on occasion but i am saying that i make more healthier choices, i opt for more protein and veggies instead of carbs. I no longer eat out of boredom, or emotional stress. I took a leap of faith and prayed that this was the answer for me. 4 years ago i had an emergency gall bladder surgery that nearly took my life. The surgeon told my mother that if i didn't lose weight, i'd be dead in 5 years. I had tried everything up until Plexus and had just about decided that i was doomed. I was addicted to food. It was worse than any drug. I was depressed and always crying because i have 2 very young children to care for and they couldn't be without their mommy. And now, i am no longer depressed because i see the difference and i see the future and i feel so much healthier than i was! So when i messaged that annoying Plexus lady and found out all i needed to know, i decided that no amount of hard work or money could stop me from giving it one last shot. It's easy and affordable even for the lowest of budgets. Why wait? Plexus works! Message me today and allow me to help you get started on your Journey to Health. Give me 60 days as your personal mentor and guide and i can help you achieve your health goals as well. You have nothing to lose with our 60 day money back guarantee! I cant wait to hear from you!  www.amandahagemeier.myplexusproducts.com"
