"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Post workout coffee stop. S&Q's coffee shack.
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
"Cutting soda out. Bye bye diet & regular. Back to only water, iced tea & lemonade. #iMightDieFromWithdrawls #MyDietSodaAddictionIsRealYall"
"them fat people who are trying to ""lose weight"" so they constantly eat takeouts,  junk food with a diet coke ...... get the fuck out"
Blehhhh. Holding on to lots of water. New diet plan for the next week. Slowly lowering the calories so my metabol... http://t.co/lcX2W62h6n
"Since I been on a No Soda diet, this Juice has been my life saver.  http://t.co/9agI3qd9o0"
"Arms shaking so bad u can barely mix ur @VegaTeam post drink, means u crushed it lol! #fitness #momswholift #chalklife "
"RT @TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
So note to self.  Coffee and pre workout DO NOT GO TOGETHER WELL
"RT @engrossingfacts: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
I gave up diet soda more than six months ago.  This change was made easier by using invigorating essential oils... http://fb.me/6HcGH02xd
Helping me luck the diet soda addiction FINALLY #noaspertame #nosucralose #nosugar #nochemicals http://instagram.com/p/sVD4TNsUMX/
"Ate too much, drank too much diet coke, burped and had to be sick. Saturday game going STRONG."
"I have cut way back, but still love the taste of Diet Coke...something about from the fountain at McDs http://instagram.com/p/sVhJriC10i/"
I'm bouta walk to am pm all by myself just cause I want a soda 
I drank too much last night & are two tamales once I got home... Off to the gym I gooo 
RT @Book_Krazy: Her: How's your drink?  Me: It's ok. I can't taste the alcohol though   Her:That's cause we're at the gym and its a protein...
YEAH FOOTBALL FACIAL HAIR MUSCLES GO TO THE GYM DRINK A BEER LETTERMAN PUNCH STUFF YEAH
Lazy ass outa bed time!.....gotta go get the black coffee n porridge on the go and the gym kit looked out!! #Sat #Squats #OnIt
"CrossFit followed by coffee with homemade almond milk, yams smothered in eggs. Perfect Saturday morning, 6 days til I can run again. #crossfit #sweatpink"
I'm willing to sacrifice how much caffeine my pre workout has for a cup of coffee
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"@classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"""@itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" Thanx for the tip :-)"
Fell asleep for a quick nap. More to do with not sleeping well last night than with the juice #cleanse
Not my fault my daughter Candace wanted chili's frank plate.. ok I h texting a surf Pac. Side mac salad. Chili cheese n cracker chocolate milk shake .#BIGBOYPROBLEMS
"all ive done today is wear a sleeve less sports vest, drink beer watch allways sunny and play counter strike what have i become"
RT @Calum5SOS: Dan looking a bit embarrassed after revealing his small coke to the group. @GuitarmanDan http://t.co/j2nxP5yWBM
i was so thirsty and pissed last night that i drank coke that has been in my room over 2 weeks. i feel sick
how sad its that he can't even eat icecream b'cos it has milk & fat.  change it for a bottle of wine and it would b p much accurate to y'day
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @SunflowerLex_: Chocolate milk is my favorite thing to drink when I get home from a workout, so good."
Sitting on the couch drinking vodka lemonade while Courtney does an ab workout  This is why I don't deserve to be fit http://t.co/QCvPK3Jmny
"RT @secretsfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
My kinda drink after morning workout!   #detox #cleanse #drink #healthly #living... http://instagram.com/p/sTgH_dgzm4/
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
The fact that alcohol sponsors sports is so stupid. It's not good to drink while watching or playing sports.
@Iliketosusan e...w inside nah chocolate milk also nah and I'm a vegetarian I can't eat marshmallows
Workout then a treat for working out at 8am on a Saturday! Gluten free coffee cake from @sugarbakeshop... http://instagram.com/p/sVGM4Zi9dE/
RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
RT @ghweldon: Drank so much last night that this morning's workout sweat was high in tannins with notes of citrus and green apple and a cri...
"Fresh raw milk thx to @Lovemebutter!!! Perfect for post workout, especially when it's 85 degrees out there! http://t.co/OfRPSe8MOa"
"RT @DiscoveryFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @classifiedfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Cut back on sugary drinks. The average 12-ounce can of soda has more than 100 calories and 10 teaspoons of sugar.
"Don't drink your calories! Alcohol contains empty calories and have really no nutritional value. Yes, I do have... http://fb.me/3NvOCQxKq"
"@ColePeters mmmm not what I was told.... And you have fun drinking Miller lite or WHATEVER nasty beer you drink on your ""diet"""
If you ask me what food or beverage I would break my diet for right now I'd say a wine bottle. I really want wine.....wine....red wine
@maawong did you know that diet soda has the same effect on your teeth as meth and crack cocaine?
"RT @UnbeIieveabIe: According to a study conducted in 2013, alcohol mixed with diet soda get people 18% drunker than alcohol mixed with norm..."
Day 7 observations: Burned 994 calories! Turn up!! But on water because beer has too many calories! Here's to a healthy me! #ElizaExercises
shower after workout + Coffee + #deephouse ooo yeah !
Did you know that beer could be a great post-workout recovery drink? http://buff.ly/1nEpRqD http://t.co/ot1nRFNRX1
Chocolate milk makes the best post workout drink  #FitnessTips http://instagram.com/p/sUc7_lvKVV/
"RT @vegasbrawler: Goal..start with diet coke and end with diet coke. Be good. But...in between, wines, a beer & Mike's. Fucking fail. #fail..."
A little protein coffee and some clean sweet potato latkes!!! High carb days gonna be a good day!!!... http://instagram.com/p/sVWBePN7EW/
Low carbon high protein diet started yesterday and I could only manage to drink one shake the entire day and  couldnt eat nothing else
"After the birthday cake yesterday, and sneaking a cinnamon roll at work I seriously feel hungover today. Like I drank a bottle. Detox time."
"My detox meal from all the drinks I had to drink from loosing beer pong last night  celery,... http://instagram.com/p/sTkYcikzfD/"
"i decide after munchies last night that i'm going to detox today with healthier food. so naturally, i go out for texmex and then milk tea. ?"
0wned by DodePersie #DodeOnTTI Mixing alcohol with diet coke will get you more drunk than mixing it with regular coke.
and i'm like here is your tea youre on a diet today bitches
Only with Diet Coke can I get through a lazy morning! @DietCoke #OnlyWithDietCoke
RT @MostSecretThing: Mixing alcohol with Diet Coke will get you more drunk than mixing it with regular Coke. http://t.co/ylDga3lk37
"RT @mysteriousfact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
"RT @itzwikipedia: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RT @IanJay: @raccoonsclub AHH time for a relaxing post-workout beverage *i unscrew a jar of Jif and shake its gloppy contents into my open ...
